deep_id	collection	greg_full	work_id
5017.01		94a	94
5017.02		95a	95
5018	c11b	n/a	2011
5018.01		94b	94
5018.02		95b	95
5019	c11c	n/a	2011
5019.01		94c	94
5019.02		95c	95
5020	c12a	n/a	2012
5020.01		97a	97
5021	c13a	n/a	2013
5021.01		101a	101
5021.02		102a	102
5022	c13b	n/a	2013
5022.01		101b	101
5022.02		102b	102
5023	c13c	n/a	2013
5023.01		101c	101
5023.02		102c	102
5024	c14a	n/a	2014
5024.01		108a	108
5025	c15a	n/a	2015
5025.01		L2a	2
5025.02		L3a	3
5026	c16a	n/a	2016
5026.01		111a(1)	111.1
5026.02		111a(2)	111.2
5026.03		111a(3)	111.3
5027	c17a	n/a	2017
5027.01		132a	132
5028	c17b	n/a	2017
5028.01		132b	132
5029	c17c	n/a	2017
5029.01		132c	132
5030	c18c	n/a	2018
5030.01		152a	152
5031	c18d	n/a	2018
5031.01		152b	152
5032	c18e(i)	n/a	2018
5032.01		152c	152
5033	c18e(ii)	n/a	2018
5034	c18f(i)	n/a	2018
5034.01		152d	152
5035	c18f(ii)	n/a	2018
5036	c18g(i)	n/a	2018
5036.01		152e	152
5037	c18g(ii)	n/a	2018
5038	c18g(iii)	n/a	2018
5039	c18g(iv)	n/a	2018
5040	c18g(v)	n/a	2018
5041	c18h(i)	n/a	2018
5041.01		152f	152
5042	c18h(ii)	n/a	2018
5043	c18h(iii)	n/a	2018
5044	c18i	n/a	2018
5044.01		152g	152
5045	c18j	n/a	2018
5045.01		152h	152
5046	c18k	n/a	2018
5046.01		152i	152
5047	c19a	n/a	2019
5047.01		132d	132
5048	c20a	n/a	2020
5048.01		153a	153
5048.02		154a	154
5049	c20b	n/a	2020
5049.01		153b	153
5049.02		154b	154
5050	c20c	n/a	2020
5050.01		153c	153
5050.02		154c	154
5051	c20d	n/a	2020
5051.01		153d	153
5051.02		154d	154
5052	c20e	n/a	2020
5052.01		153e	153
5052.02		154e	154
5053	c20f	n/a	2020
5053.01		153f	153
5053.02		154f	154
5054	c21a(i)	n/a	2021
5054.01		132e	132
5055	c21a(ii)	n/a	2021
5056	c22a(i*)	n/a	2022
5056.01		193a	193
5056.02		194a	194
5057	c22a(i†)	n/a	2022
5058	c22a(ii)	n/a	2022
5059	c23a	n/a	2023
5059.01		200a	200
5059.02		201a	201
5060	c24a(i)	n/a	2024
5060.01		209a	209
5060.02		196b	196
5061	c24a(ii)	n/a	2024
5061.01		260a(i)	260
5061.02		260a(ii)	260
5061.03		261a	261
5062	c24b	n/a	2024
5062.01		209b	209
5062.02		196c	196
5062.03		260b	260
5062.04		261b	261
5063	c25a	n/a	2025
5063.01		132f	132
5063.02		223a	223
5064	c25b	n/a	2025
5064.01		223c	223
5064.02		132g(i)	132
5064.03		132g(ii)	132
5064.04		227b	227
5065	c25c(*)	n/a	2025
5065.01		223d(i)	223
5065.02		223d(ii)	223
5065.03		132h(i)	132
5065.04		132h(ii)	132
5065.05		227c	227
5066	c25c(†)	n/a	2025
5067	c26a	n/a	2026
5067.01		223b	223
5068	c27a	n/a	2027
5068.01		269a	269
5068.02		270a	270
5068.03		271a	271
5069	c28a	n/a	2028
5069.01		274a	274
5069.02		275a	275
5070	c28b	n/a	2028
