deep_id	greg	stc	author_name	title12	11a	22607	Skelton, John	Magnificence
679	363b	1682	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
680	363c	1683	Fletcher, John	Philaster, or Love Lies a-Bleeding
680	363c	1683	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
681	363d	1684	Fletcher, John	Philaster, or Love Lies a-Bleeding
681	363d	1684	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
682	363ei	1685	Fletcher, John	Philaster, or Love Lies a-Bleeding
682	363ei	1685	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
683	363eii	1685.5	Fletcher, John	Philaster, or Love Lies a-Bleeding
683	363eii	1685.5	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
684	363f	B1598	Fletcher, John	Philaster, or Love Lies a-Bleeding
684	363f	B1598	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
685	363g	B1598A	Fletcher, John	Philaster, or Love Lies a-Bleeding
685	363g	B1598A	Beaumont, Francis	Philaster, or Love Lies a-Bleeding
686	364a	4281	C., I.	The Two Merry Milkmaids, or The Best Words Wear the Garland
692	368bi	F1352	Fletcher, John	Thierry and Theodoret
693	368bii	F1353	Fletcher, John	Thierry and Theodoret
693	368bii	F1353	Beaumont, Francis	Thierry and Theodoret
687	365a*	17909	Middleton, Thomas	The World Tossed at Tennis
687	365a*	17909	Rowley, William	The World Tossed at Tennis
688	365a†	17910	Middleton, Thomas	The World Tossed at Tennis
688	365a†	17910	Rowley, William	The World Tossed at Tennis
